name,org_name,starts_on,ends_on,location,categories,theme,description
Recruitment Retreat,Alpha Delta Pi,2026-12-20T15:00:00+00:00,2026-12-20T20:00:00+00:00,Watkins,,ThoughtfulLearning,Recruitment training for the Eta Phi chapter.
Blood Drive,Beta Theta Pi,2026-09-15T13:00:00+00:00,2026-09-16T21:00:00+00:00,Joseph Vaughn Plaza,Greek Life Event,CommunityService,"Join Beta Theta Pi for our quarterly Blood Drive with Oneblood - right on the library patio. Appointments can be made the week before, or by walk-in appointment. Save a life with Beta - and make an impact beyond yourself."
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-05-10T22:30:00+00:00,2026-05-11T00:00:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
FUGC Senior Night,Furman University Grill Club,2026-05-07T16:00:00+00:00,2026-05-08T00:00:00+00:00,GPAV,,Social,Join us for a final grill night with our seniors
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-05-03T22:30:00+00:00,2026-05-04T00:00:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
Contra Dance,Furman University Social Dance Society,2026-04-29T23:00:00+00:00,2026-04-30T00:00:00+00:00,Furman Campus,,Arts,Contra Dance at Furman! check the GroupMe for more information.
RLC weekly meeting,Residential Life Council,2026-04-29T21:30:00+00:00,2026-04-29T22:30:00+00:00,FUR-214,,GroupBusiness,Our weekly general body meeting preceded by RLC exec meeting.
Sigma Nu Chapter,Sigma Nu,2026-04-27T23:00:00+00:00,2026-04-28T00:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Regular meeting of the Sigma Nu chapter focused on updates, announcements, and discussions that support chapter operations, member development, and fraternity activities."
Sigma Nu EC Meeting,Sigma Nu,2026-04-27T22:00:00+00:00,2026-04-27T23:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Weekly meeting for Sigma Nu’s Executive Committee to coordinate leadership efforts, review chapter operations, and plan upcoming initiatives and events."
SGA Weekly Council Meeting,Student Government Association,2026-04-27T22:00:00+00:00,2026-04-27T23:00:00+00:00,Watkin's Room,,GroupBusiness,New Business Meeting. Meetings are open to all members of the student body.
Greek Groove,Panhellenic Council,2026-04-07T23:00:00+00:00,2026-04-08T00:30:00+00:00,Furman Amphitheater,Greek Life Event,Social,Annual Greek Life event hosted by Panhellenic and IFC at which Greek organizations participate in a dance competition. Tickets to the event will be sold at the event.
Chi O Closet,Chi Omega,2026-04-07T15:00:00+00:00,2026-04-07T17:30:00+00:00,Joseph Vaughn Plaza,Greek Life Event,Fundraising,Shop through Chi Omega's closet to support Make-A-Wish! Chi Omega will be providing a thrift closet and hair tinsel to students. All proceeds will benefit Make-A-Wish. This event will be from 11:00-1:30 on April 7th!
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-04-06T23:30:00+00:00,2026-04-07T00:30:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
Sigma Nu Chapter,Sigma Nu,2026-04-06T23:00:00+00:00,2026-04-07T00:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Regular meeting of the Sigma Nu chapter focused on updates, announcements, and discussions that support chapter operations, member development, and fraternity activities."
Chi Omega Chapter,Chi Omega,2026-04-06T22:30:00+00:00,2026-04-06T23:30:00+00:00,John's Hall,,Social,The members of Chi Omega meet weekly to discuss updates and happenings.
Sigma Nu EC Meeting,Sigma Nu,2026-04-06T22:00:00+00:00,2026-04-06T23:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Weekly meeting for Sigma Nu’s Executive Committee to coordinate leadership efforts, review chapter operations, and plan upcoming initiatives and events."
SGA Weekly Council Meeting,Student Government Association,2026-04-06T22:00:00+00:00,2026-04-06T23:00:00+00:00,Watkin's Room,,GroupBusiness,Guest Speaker: Madgelyn Helwig & Jean Schwab (AI Task Force) New Business Meeting. Meetings are open to all members of the student body.
Chi Omega Executive Board meeting,Chi Omega,2026-04-05T23:00:00+00:00,2026-04-06T00:00:00+00:00,Furman Hall,Meeting,ThoughtfulLearning,This will be a weekly meeting where we will discuss upcoming events and plans for the week
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-04-05T22:30:00+00:00,2026-04-06T00:00:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
Pi Kappa Phi Chapter Meeting,Pi Kappa Phi - Delta Chapter,2026-04-05T23:00:00+00:00,2026-04-06T00:00:00+00:00,Watkins Room,Greek Life Event,GroupBusiness,"Our chapter will meet to discuss weekly programming, upcoming events, and review the past week."
Chess Club Meeting,Furman Chess Club,2026-03-20T21:00:00+00:00,2026-03-20T23:00:00+00:00,Riley 105,Special Interest,Social,Weekly meetings for casual chess on Fridays at 5 PM in Riley 105. All skill levels welcome!
Anthropology Club Smore's,Furman University Anthropology Club,2026-03-20T21:00:00+00:00,2026-03-20T22:30:00+00:00,Trone Point of View Fire Pit,Meeting; Special Interest,Social,"Come join us to hang out around the fire like humans have for thousands of years! While early humans may not have had smore's, we sure do (while supplies last)."
FUNC Radio Tabling,Furman University News Channel Radio,2026-03-20T15:30:00+00:00,2026-03-20T17:30:00+00:00,Joseph Vaughn Plaza,Meeting,Social,Tabling in front of the library for the FUNC Radio Big Bug Bash- our yearly Furman community music festival!
HOLA Fundraiser,Hispanic Outreach and Latine Awareness,2026-03-20T15:30:00+00:00,2026-03-20T17:30:00+00:00,Joseph Vaughn Plaza,Diversity and Inclusion ,Fundraising,"This fundraiser would be to raise funds for the HOLA organization. Would consist of baked store bought pasteries, hot drinks, coffee, and Mexican hot chocolate."
FUGE Weekly Rehearsal,Furman University Gospel Ensemble,2026-03-19T23:30:00+00:00,2026-03-20T01:30:00+00:00,DBM 003,,Arts,"The Gospel Ensemble rehearses every Thursday, at 7:30 pm."
RUF Large Group,Reformed University Fellowship,2026-03-20T00:00:00+00:00,2026-03-20T01:30:00+00:00,Hartness Pavillion,Religious,Spirituality,"Worship, fellowship, and Scripture in community!"
Wesley Bible Study,Furman Wesley Fellowship,2026-03-20T00:15:00+00:00,2026-03-20T01:15:00+00:00,Chapel Lounge,,Spirituality,"Join us as we discuss the Bible, all are welcome!!"
Weekly Meeting - Board Game Club,Ace of Clubs,2026-03-19T23:00:00+00:00,2026-03-20T01:00:00+00:00,Plyler 026,Meeting,Social,Weekly Meeting!
Wesley Freshman Group,Furman Wesley Fellowship,2026-03-19T21:30:00+00:00,2026-03-19T22:30:00+00:00,Paddock,Religious,Spirituality,Join us as we eat together in the Paddock!
GIS & Mapping Club General Body Meeting,GIS & Mapping Club,2026-03-19T21:30:00+00:00,2026-03-19T22:30:00+00:00,"Riley Hall, Room 103",Meeting,Social,"Did you know you can make your own maps using your phone? Join the GIS & Mapping Club at our general meeting in RLY 103. We will have free pizza and drinks, so come ready to have fun and mingle. This will also be a chance to hear about our upcoming campus mapping project and learn how you can help update the Furman campus map in the coming weeks (no experience needed). We hope to see you there, and do not forget to bring a friend!"
Corky's Dawg House and Hike,Furman University Outdoors Club,2026-02-21T15:30:00+00:00,2026-02-21T23:30:00+00:00,Rabbit Hole,,Social,"Hot dawgs. Need we say more? Join Officers Betsy, Eleanor, and Jonah on a jaw-dropping (culinary) adventure of a lifetime! We will be doing a 6-mile hike in Pisgah National Forest (beginners encouraged!), followed by a delectable, juicy, life-changing, extravagant, and gourmet dawg. 1 dawg on us. C u there. register on rec.furman.edu"
Breakfast Bound,Furman University Student Activities Board,2026-02-21T13:15:00+00:00,2026-02-21T15:00:00+00:00,Downtown Greenville,Social Programmatic,Social,This event offers students the opportunity to get a guided tour of Downtown Greenville’s most loved breakfast spots. The tour will take students to three different local spots for a full entree along with coffee or tea.
Ski Rave #2,"Sigma Chi, Iota Nu Chapter",2026-02-21T00:00:00+00:00,2026-02-21T03:00:00+00:00,Cats Pajamas,,Social,social gathering Ski themed
Chi Omega Crush,Chi Omega,2026-02-21T00:30:00+00:00,2026-02-21T02:30:00+00:00,Zen Greenville,,Social,Chi Omega Crush 1 date allowed food and drinks provided Occurring at Zen Greenville in the Lotus Lounge security and cash bar included with venue Uber transportation and 3-4 Chi Omega Advisors supervising drop-off and pickup
OFT Spring 24 Show Auditions,Order of Furman Theatre,2026-02-20T22:00:00+00:00,2026-02-21T02:00:00+00:00,The Playhouse Annex,Fine Arts,Arts,"Come and audition for OFT's Spring 24-show, Alice in Wonderland! Fill out this form https://forms.gle/xAC3vejuNdFsGEvZ7"
Winter Function,Delta Delta Delta,2026-02-20T23:30:00+00:00,2026-02-21T01:30:00+00:00,The Smokestacks at Judson Mill,Greek Life Event,Social,"Tri Delta's annual themed winter function. The theme this year is Spotify WrappeDDD - members and guests will dress up as their top artist on Spotify Wrapped, or their favorite artist. There will be catering and a cash bar."
Bachata Night,Hispanic Outreach and Latine Awareness,2026-02-20T22:00:00+00:00,2026-02-20T23:00:00+00:00,Furman Campus Recreation & Wellness (PAC) Room 201,,Cultural,HOLA is hosting a bachata night where Furman students learn how to dance bachata step-by-step.
Formal Dress Drive Donation and Rental Drop Off,Panhellenic Council,2026-02-20T15:45:00+00:00,2026-02-20T18:00:00+00:00,Greek Life Office in Trone in Student Org Commons,,Social,"We are hosting a dress drive for girls to donate or offer their dresses for rental for other girls to wear during the Greek life formal season! This is solely for dress drop-off, not shopping/selecting dresses yet!"
FUGE Weekly Rehearsal,Furman University Gospel Ensemble,2026-02-20T00:30:00+00:00,2026-02-20T02:30:00+00:00,DBM 003,,Arts,"The Gospel Ensemble rehearses every Thursday, at 7:30 pm."
Wesley Bible Study,Furman Wesley Fellowship,2026-02-20T01:15:00+00:00,2026-02-20T02:15:00+00:00,Chapel Lounge,,Spirituality,"Join us as we discuss the Bible, all are welcome!!"
Sigma Nu Chapter,Sigma Nu,2026-02-03T00:00:00+00:00,2026-02-03T01:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Regular meeting of the Sigma Nu chapter focused on updates, announcements, and discussions that support chapter operations, member development, and fraternity activities."
Chi Omega Chapter,Chi Omega,2026-02-02T23:30:00+00:00,2026-02-03T00:30:00+00:00,John's Hall,,Social,The members of Chi Omega meet weekly to discuss updates and happenings.
Sigma Nu EC Meeting,Sigma Nu,2026-02-02T23:00:00+00:00,2026-02-03T00:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Weekly meeting for Sigma Nu’s Executive Committee to coordinate leadership efforts, review chapter operations, and plan upcoming initiatives and events."
SGA Weekly Council Meeting,Student Government Association,2026-02-02T23:00:00+00:00,2026-02-03T00:00:00+00:00,Watkin's Room,,GroupBusiness,Guest Speaker: Ron Thompson & Curtis Nash (Housing Lottery) Discussion Based Meeting. Meetings are open to all members of the student body
Groundhog Day,Furman University Student Activities Board,2026-02-02T16:30:00+00:00,2026-02-02T18:30:00+00:00,Joseph Vaughn Plaza (JVP) in front of Duke Library,,Social,"Celebrate Groundhog Day with FUSAB! Will the Groundhog see its shadow or not this year!? Luckily, you can celebrate both spring and winter with activities, crafts, and treats. Whether you want 6 more weeks of winter and the snowflakes and sweaters that come with it… or an early spring and the flowers and pastries that follow. Enjoy decorating cookies, cutting snowflakes, painting flower pots, and shopping through a curated winter closet. Don’t miss the Groundhog seeing (or not) its shadow at 12:20!"
Super Bowl Promo Pop Up,Residential Life Council,2026-02-02T14:00:00+00:00,2026-02-02T16:00:00+00:00,Trone Atrium,,Social,RLC will be serving coffee and donuts to the student body to promote our Super Bowl event!
Chi Omega Executive Board meeting,Chi Omega,2026-02-02T00:00:00+00:00,2026-02-02T01:00:00+00:00,Furman Hall,Meeting,ThoughtfulLearning,This will be a weekly meeting where we will discuss upcoming events and plans for the week
Chi Omega Executive Board meeting,Chi Omega,2026-02-02T00:00:00+00:00,2026-02-02T01:00:00+00:00,Furman Hall,Meeting,ThoughtfulLearning,This will be a weekly meeting where we will discuss upcoming events and plans for the week
Grill Club Meet,Furman University Grill Club,2026-02-01T23:00:00+00:00,2026-02-02T01:00:00+00:00,GPAV,,Social,"Come out and grill, theme to be announced."
Alpha Delta Pi Executive Committee Meeting,Alpha Delta Pi,2026-02-01T22:00:00+00:00,2026-02-01T23:00:00+00:00,Furman 214,,GroupBusiness,Our weekly executive meeting before chapter.
SGA Food for Fines,Student Government Association,2025-11-21T17:30:00+00:00,2025-11-21T18:30:00+00:00,Library Steps,,CommunityService,"Furman Food for Fines is a collaborative initiative between SGA and FUPO designed to support local food security while providing students with an alternative way to resolve minor parking violations. Through this program, students can donate nonperishable food items in exchange for having an eligible parking citation waived. All collected items will be donated to Miracle Hill Food Warehouse in Greenville."
Music Bingo Country Hits!,Office of Student Involvement,2025-11-21T00:30:00+00:00,2025-11-21T02:00:00+00:00,Trone Student Center PDen,,Social,Music Bingo Country Hits!
DREAM Meeting,"Disability Rights, Education, Activism, and Mentoring",2025-11-21T00:30:00+00:00,2025-11-21T01:00:00+00:00,Furman Hall,,ThoughtfulLearning,Come learn and be apart of our accessibility experience!
Freshmen Group,Furman Wesley Fellowship,2025-11-20T22:30:00+00:00,2025-11-20T23:30:00+00:00,Chapel Lounge of the Chapel,Religious,Spirituality,Join us for a weekly devotional geared towards the transition into college life! All faith backgrounds are welcome!
Conversations on the Steps,Interfraternity Council,2025-11-20T16:30:00+00:00,2025-11-20T18:00:00+00:00,Library Steps,Greek Life Event,Social,Come talk to the brothers on the library steps from 11:30 to 1:00! Drinks and pastries available.
Delight Weekly Meeting,Delight Ministries,2025-11-20T01:00:00+00:00,2025-11-20T02:00:00+00:00,Furman Hall 117,Religious,Spirituality,Weekly meeting of Delight women discussing the most recent chapter in the study.
Delight Weekly Meeting,Delight Ministries,2025-11-20T01:00:00+00:00,2025-11-20T02:00:00+00:00,Furman Hall 117,Religious,Spirituality,Weekly meeting of Delight women discussing the most recent chapter in the study.
Are You Smarter Than a 5th Grader - Jeopardy Edition,"Kappa Alpha Psi Fraternity, Inc. (Xi Omega Chapter)",2025-11-20T00:00:00+00:00,2025-11-20T01:45:00+00:00,Patrick Lecture Hall - Plyler 126,,Social,Come play a Jeopardy version of Are You Smarter Than a 5th Grader.
RLC Weekly Meeting,Residential Life Council,2025-11-19T22:30:00+00:00,2025-11-19T23:30:00+00:00,Furman 214,,GroupBusiness,Residential Life Council executive board and members meet to discuss weekly updates and upcoming events.
A Mindful Moment,"Kappa Alpha Psi Fraternity, Inc. (Xi Omega Chapter)",2025-11-19T17:30:00+00:00,2025-11-19T19:30:00+00:00,"Furman University, Library Steps",,Social,"Stop by the library steps, as we will be passing out affirmative notes and giving you the chance to write a note to a friend."
Pi Kapp Halloween Party,Pi Kappa Phi - Delta Chapter,2025-11-02T00:30:00+00:00,2025-11-02T03:30:00+00:00,Fieldhouse TR,,Social,A Halloween party for brothers and their invites
Contra Dance,Furman University Social Dance Society,2025-11-01T23:00:00+00:00,2025-11-02T03:00:00+00:00,River Falls Lodge,Meeting,Social,"Contra Dance at River Falls Lodge! Costs $10 cash, check the GroupMe for more information."
Rocky Horror Picture Show Performance,Furman University Pauper Players,2025-11-01T23:00:00+00:00,2025-11-02T01:00:00+00:00,Daniel Recital Hall,Fine Arts,Arts,"Join us for our 7th annual shadow box cast of the Rocky Horror Picture Show in celebration of the 50th anniversary of the film! Showing on October 31st in Burgiss Theater at 7PM and on November 1st in Daniel Recital Hall at 7PM, open to all students!"
Furman Football v. Mercer,Furman Athletics,2025-11-01T18:00:00+00:00,2025-11-01T19:00:00+00:00,Paladin Stadium,,Athletics,Furman Football Game in the Paladin Stadium. Come watch the game and join student tailgating!
Rocky Horror Picture Show Performance,Furman University Pauper Players,2025-10-31T23:00:00+00:00,2025-11-01T01:00:00+00:00,Burgiss Theater,Fine Arts,Arts,"Join us for our 7th annual shadow box cast of the Rocky Horror Picture Show in celebration of the 50th anniversary of the film! Showing on October 31st in Burgiss Theater at 7PM and on November 1st in Daniel Recital Hall at 7PM, open to all students!"
Chess Club Meeting,Furman Chess Club,2025-10-31T21:00:00+00:00,2025-10-31T23:00:00+00:00,Riley 105,Special Interest,Social,Weekly meetings for casual chess on Fridays at 5 PM in Riley 105. All skill levels welcome!
Trick or Treat with Wesley,Furman Wesley Fellowship,2025-10-31T15:00:00+00:00,2025-10-31T17:00:00+00:00,Joseph Vaughn Plaza,,Spirituality,Giving out free candy from the Furman Wesley Fellowship!
Belay Your Boo,Furman University Outdoors Club,2025-10-31T02:00:00+00:00,2025-10-31T06:00:00+00:00,Climb @ Blue Ridge,,Social,"Don't be scared... come climb at night... come hang for Halloween and climb with FUOC. (The spookiest thing may just be finding a boo) (jk come with or without whoever) Here is the late-night climbing event of the year, food will be served. Learn to climb or flash your skills, don't even worry about gear. Register on rec.furman.edu"
Belay Your Boo,Furman University Outdoors Club,2025-10-31T00:00:00+00:00,2025-10-31T05:00:00+00:00,Climb at Blue Ridge,,Social,"Don't be scared... come climb at night... come hang for Halloween and climb with FUOC. (The spookiest thing may just be finding a boo) (jk come with or without whoever) Here is the late-night climbing event of the year, food will be served. Learn to climb or flash your skills, don't even worry about gear."
RUF Large Group,Reformed University Fellowship,2025-10-31T00:00:00+00:00,2025-10-31T01:15:00+00:00,Hartness Pavillion,Religious,Spirituality,"Weekly worship service with music, teaching, and fellowship! People from all religious backgrounds are welcome!"
Chi Omega Chapter,Chi Omega,2025-10-13T22:30:00+00:00,2025-10-14T00:00:00+00:00,John's Hall 101,Greek Life Event,Social,Chapter held by Chi Omega to discuss weekly updates.
FU Grill Club Taco Night,Furman University Grill Club,2025-10-12T22:00:00+00:00,2025-10-13T00:00:00+00:00,GPAV,,Social,"Tortillas and toppings will be provided, just bring whatever meat you want to throw on the grill"
Furman Men's Soccer v. ETSU (Senior Night),Furman Athletics,2025-10-11T23:00:00+00:00,2025-10-12T02:00:00+00:00,Stone Stadium,Varsity Athletic Event,Athletics,Come support the men's soccer team in Stone Stadium!
Fall Break Backpacking,Furman University Outdoors Club,2025-10-11T13:00:00+00:00,2025-10-11T22:30:00+00:00,Rabbit Hole,,Social,"Spend your Fall Break with FUOC in the Grayson Highlands! Join Officers Ronan, Jeff, Hope and Eleanor for views, fun, adventure, and ponies. Well spend 2 nights/3 days on the trail. Lots of fun to come! Register on rec.furman.edu"
Furman Women's Soccer v. ETSU (Cancer Awareness Night),Furman Athletics,2025-10-10T23:00:00+00:00,2025-10-11T02:00:00+00:00,Stone Stadium,Varsity Athletic Event,Athletics,Come support the women's soccer team in Stone Stadium!
RUF Large Group,Reformed University Fellowship,2025-10-10T00:00:00+00:00,2025-10-10T01:00:00+00:00,Hartness Pavillion,Religious,Spirituality,"Weekly worship service with music, teaching, and fellowship! People from all religious backgrounds are welcome!"
FCS Meeting,Furman Conservative Society,2025-10-09T23:00:00+00:00,2025-10-10T00:00:00+00:00,Riley 107,Political,GroupBusiness,General meeting of FCS. We will have discussion on current events.
HOLA General Body Meeting,Hispanic Outreach and Latine Awareness,2025-10-09T22:00:00+00:00,2025-10-09T23:00:00+00:00,FUR117,Diversity and Inclusion ,Cultural,"HOLA will be having their biweekly meeting on Thursday, October 9 at 6pm in FUR 117."
Furman Arts & Crafts Meeting,Furman University Arts and Crafts,2025-10-09T22:00:00+00:00,2025-10-09T23:00:00+00:00,FUR-110,Meeting,Arts,Are you prepared for something exciting??? Themes of third meeting: shrinked plastic accessory 🌺💨
Freshmen Group,Furman Wesley Fellowship,2025-10-09T21:30:00+00:00,2025-10-09T22:30:00+00:00,Chapel Lounge of the Chapel,Religious,Spirituality,Join us for a weekly devotional geared towards the transition into college life! All faith backgrounds are welcome!
General Meeting,Alpha Epsilon Delta,2025-09-25T22:00:00+00:00,2025-09-25T23:00:00+00:00,Patrick Lecture Hall (PYR-126),,ThoughtfulLearning,"General meeting on 09/25. We will cover the basics of AED, membership, and feature a guest speaker."
Furman Arts & Crafts Meeting,Furman University Arts and Crafts,2025-09-25T22:00:00+00:00,2025-09-25T23:00:00+00:00,FUR-110,Meeting,Arts,"Come, make, and paint arts and crafts with us. Themes of the week: clay miniatures ⚱️"
Freshmen Group,Furman Wesley Fellowship,2025-09-25T21:30:00+00:00,2025-09-25T22:30:00+00:00,Chapel Lounge of the Chapel,Religious,Spirituality,Join us for a weekly devotional geared towards the transition into college life! All faith backgrounds are welcome!
Pottery Night,Furman University Anthropology Club,2025-09-25T21:30:00+00:00,2025-09-25T22:30:00+00:00,Furman Hall 107,Special Interest,Social,Come learn about the invention of pottery and try some hand-built pottery techniques with air dry clay.
Pie a Pi- Alpha Delta Pi,Alpha Delta Pi,2025-09-25T15:00:00+00:00,2025-09-25T17:45:00+00:00,Trone Student Center Patio,Community Service,CommunityService,"Alpha Delta Pi will host an on campus opportunity for community members to pie sisters and fellow campus members, with all money benefitting the Ronald McDonald House Charities of the Carolinas."
S'mores with RUF,Reformed University Fellowship,2025-09-24T22:30:00+00:00,2025-09-25T01:00:00+00:00,Trone Fire Pit,Religious,Social,"Fall vibes, friends, and s'mores! Stop by or stay a while!"
Delight Weekly Meeting,Delight Ministries,2025-09-25T00:00:00+00:00,2025-09-25T01:00:00+00:00,Furman Hall 117,Religious,Spirituality,Weekly meeting of Delight women discussing the most recent chapter in the study.
Adopt a Grandfriend,"Alpha Kappa Alpha Sorority, Incorporated (Rho Zeta Chapter)",2025-09-24T22:00:00+00:00,2025-09-24T23:00:00+00:00,Riley 105,Social Programmatic,CommunityService,The ladies of Alpha Kappa Alpha Sorority Incorporated will be hosting an event where the Furman community can join us in writing letters to the elderly at the Woodlands. This will be a wonderful opportunity to spread kindness and connect with the student body.
RLC Weekly Meeting,Residential Life Council,2025-09-24T21:30:00+00:00,2025-09-24T22:30:00+00:00,Furman 214,,GroupBusiness,Residential Life Council executive board and members meet to discuss weekly updates and upcoming events.
Get Charmed by RMHC- Alpha Delta Pi,Alpha Delta Pi,2025-09-24T15:00:00+00:00,2025-09-24T17:45:00+00:00,James B Duke Library Patio,,CommunityService,Alpha Delta Pi in collaborating with the Traveling Penny GVL will provide a charm bar (via charm truck) on campus and available for community members to create their own charm bracelet/necklace. 10% of all proceed sales will go to the Ronald McDonald House Charities of the Carolinas.
Environmental Action Group Potluck,Environmental Action Group (Furman Unviersity),2025-09-09T22:00:00+00:00,2025-09-09T23:00:00+00:00,Johns Hall Patio,,Social,This event is the first meeting of for Environmental Action Group this semester. We will have free food and drinks for people. People are also encouraged to bring their own food to share if they are able. We will be talking about what people want to do this semester and getting to know each other.
Chi Omega Chapter,Chi Omega,2025-09-08T22:30:00+00:00,2025-09-09T00:00:00+00:00,John's Hall 101,Greek Life Event,Social,Chapter held by Chi Omega to discuss weekly updates.
Mock Trial Interviews!!!,Mock Trial Program,2025-09-08T13:00:00+00:00,2025-09-08T23:30:00+00:00,Johns Hall 111i ( politics side ),,ThoughtfulLearning,"How do students earn places on the team? To earn spots on the teams, each student must complete an interview with Coach Littlejohn and select members of the program’s student leadership team. Come to the mock trial table during the Student Involvement Fair, Wednesday, September 3. Members of the current team will explain the interview process required to earn a spot on a team. Interviews will be held on Monday, September 8."
APO Information Session,Alpha Phi Omega,2025-09-08T20:00:00+00:00,2025-09-08T21:00:00+00:00,Furman Hall 201,Community Service,CommunityService,Learn about what it's like to be an APO brother!
Chi Psi Tabling Event,Fraternity and Sorority Life,2025-09-08T16:00:00+00:00,2025-09-08T18:00:00+00:00,Trone - Patio,Greek Life Event,Social,Come learn about Chi Psi at their tabling event at Trone!
FUGC bi-monthly meet,Furman University Grill Club,2025-09-07T22:00:00+00:00,2025-09-08T00:00:00+00:00,GPAV,,Social,Come on out with something to throw on the grill.
Rocky Horror Picture Show Auditions,Furman University Pauper Players,2025-09-07T20:00:00+00:00,2025-09-07T23:00:00+00:00,FUR-201,,Arts,Pauper players is excited to announce auditions for our annual Rocky Horror Picture Show!! We will be having virtual as well as in person auditions on 9/6 & 9/7! Please look to @FUpauperplayers on instagram for more information and sign ups soon
Turtleback Falls trip,Furman University Outdoors Club,2025-09-07T13:00:00+00:00,2025-09-07T19:30:00+00:00,Rabbit Hole,,Social,"Join us for an excellent hike to Turtleback Falls. After a delightful 1 to 2 mile hike, FUOC-ers can enjoy the blissful serenity of Turtleback Falls! Expect a natural waterslide, companionship, and fun. Please bring appropriate water gear + water. Sign up at rec.furman.edu!"
Contra Dance,Furman University Social Dance Society,2025-09-06T23:00:00+00:00,2025-09-07T03:00:00+00:00,River Falls Lodge,,Social,"Contra Dance at River Falls Lodge! Costs $10 cash, check the GroupMe for more information."
Furman Football v. Presbyterian,Furman Athletics,2025-09-06T18:00:00+00:00,2025-09-06T21:00:00+00:00,Paladin Stadium,,Athletics,Furman Football Game in the Paladin Stadium. Come watch the game and join student tailgating!
Book Club Meeting,Of Mice and Furmen Book Club,2025-04-16T22:30:00+00:00,2025-04-16T23:30:00+00:00,Furman 229,,Social,Aprils meeting for “The HandMaids Tale”
Sigma Nu Harvest Hope,Sigma Nu,2025-04-16T18:30:00+00:00,2025-04-16T20:30:00+00:00,Harvest Hope Food Bank,Community Service,CommunityService,The brothers will be going to Harvest Hope Food Bank to volunteer.
FUPD Fire Extinguisher Training,Office of Student Involvement,2025-04-16T14:00:00+00:00,2025-04-16T16:00:00+00:00,Point of View Firepit behind the Trone Student Center,,ThoughtfulLearning,Join FUPD and the TR Fire Department to learn about fire safety and how to use a fire extinguisher!
Dungeons & Dragons Club,Furman Dungeons and Dragons Club,2025-04-15T23:30:00+00:00,2025-04-16T02:30:00+00:00,Johns Hall 212,,Social,Welcome to our weekly Dungeons and Dragons meet-up. Play in sessions with your group or just come on by to hang out! New players welcome!
Pauper Players Firebringer Auditions,Furman University Pauper Players,2025-04-16T00:30:00+00:00,2025-04-16T01:30:00+00:00,Furman Hall 119,,Arts,We invite you all to audition for Pauper Players Fall 2025 production of Firebringer! Please prepare 1-2 minutes of a musical theater/pop song and wear comfortable clothes to move in! Sign up for your audition slot now: https://www.signupgenius.com/go/10C054DA5A92CA6FEC16-56102412-firebringer#/
Flick on G Field,Furman University Student Activities Board,2025-04-15T23:30:00+00:00,2025-04-16T01:30:00+00:00,Furman,,Social,"This is a fun event where we will play the movie 10 Things I Hate About You. There will be a loaded fry food truck, popcorn, candy, and a dirty soda bar."
Pauper Players Firebringer Auditions,Furman University Pauper Players,2025-04-15T19:30:00+00:00,2025-04-15T21:30:00+00:00,Furman Hall 121,,Arts,We invite you all to audition for Pauper Players Fall 2025 production of Firebringer! Please prepare 1-2 minutes of a musical theater/pop song and wear comfortable clothes to move in! Sign up for your audition slot now: https://www.signupgenius.com/go/10C054DA5A92CA6FEC16-56102412-firebringer#/
Senior Gift Donor Cord Pick-Up,Student Government Association,2025-04-15T15:30:00+00:00,2025-04-15T18:30:00+00:00,Trone Front Patio,,Fundraising,A chance for seniors who have or would like to contribute to the senior gift to pick up their cords. Donations can be made at furman.edu/seniorclassgift
Pauper Players Firebringer Auditions,Furman University Pauper Players,2025-04-15T00:30:00+00:00,2025-04-15T02:30:00+00:00,Furman Hall 119,,Arts,We invite you all to audition for Pauper Players Fall 2025 production of Firebringer! Please prepare 1-2 minutes of a musical theater/pop song and wear comfortable clothes to move in! Sign up for your audition slot now: https://www.signupgenius.com/go/10C054DA5A92CA6FEC16-56102412-firebringer#/
General Body Meeting,Furman Young Democratic Socialists of America,2025-04-14T23:30:00+00:00,2025-04-15T01:00:00+00:00,Furman Hall 214,,Cultural,We will be voting on new Central Committee members as well as discussing our Wage Justice campaign.
