name,short_name,slug,status,visibility,category_names,description,summary
Omicron Delta Kappa,ODK,odk,Active,Public,,"Omicron Delta Kappa was founded in 1914 at Washington and Lee University. The Society recognizes student achievement in five distinct areas: academics and research, athletics, communications, creative and performing arts, and service to campus or community. Membership in ODK includes student leaders from each of these phases of college life. The Furman circle of ODK was added to the national registry in 1981. ODK circles also include faculty and staff members who were inducted into ODK as undergraduates at Furman or other institutions. ODK is a distinctive leadership society and is often referred to as the “Phi Beta Kappa” for student leadership. Membership To be eligible for membership in the Furman Circle of ODK, students must: be in the top 35% of class in academic standing be a rising sophomore, junior, or senior Have attained distinction in one or more of the five pillars of campus life (academics and research, athletics, communications, creative and performing arts, and service to campus or community) Timeline The nomination process for membership selection for the Furman Circle of ODK occurs during spring term and is completed by the current Furman Circle Membership. New members are notified in June and the induction Ceremony is held the Friday of Family Weekend in the fall semester. Circle Activities Circle Meetings (2 per semester) Signature Service Projects Signature Leadership Events ODK National Conference and Scholarship Opportunities Annual presentation of the Reid and Babb Memorial Awards to outstanding male and female leaders from each class Opportunities to serve as student officers Selection of Circle Leader of the Year","Omicron Delta Kappa was founded in 1914 at Washington and Lee University. The Society recognizes student achievement in five distinct areas: academics and research, athletics, communications, creative and performing arts & service to campus or community."
On Discourse,,ondiscourse,Active,Public,Academic;Political,,"The On Discourse Initiative fosters open dialogue, encourages diverse perspectives, and promotes healthy discussions on challenging issues across campus."
Order of Furman Theatre,OFT,order-of-furman-theatre,Active,Public,Academic;University Department/Office;Fine Arts,"The Order of Furman Theatre works to create low-stakes performance opportunities through 24-hour shows, new works, and more. We promote and engage with local professional and community theatre by attending performances as a group. We seek to learn about the various parts of the theatre community by hosting bite-sized workshops throughout the year.","OFT work to provide low-stakes performance opportunities, promote local professional and community theatre, and learn about the various branches of Theatre Arts."
Orientation Staff,O-Staff,orientationstaff,Active,Public,University Department/Office,"The mission of the Furman University Orientation Staff is to assist in facilitating the successful academic, social, and personal transition of new students and their families to Furman University. Using their diverse interests and backgrounds, and through their participation in orientation and other corresponding programs, staff members provide guidance and support as new students integrate themselves into the Furman Community. The staff welcomes these students and their families with passion and enthusiasm.","The mission of the Furman University Orientation Staff is to assist in facilitating the successful academic, social, and personal transition of new students and their families to Furman University. Using their diverse interests and backgrounds, and th..."
Orthodox Christian Fellowship,OCF,orthodox-christian-fellowship,Active,Public,Religious Council;Special Interest,Orthodox Christian Fellowship (OCF) is the official collegiate campus ministry program under the Assembly of Canonical Orthodox Bishops of the United States of America. OCF is charged with connecting Orthodox college students—and those interested in the Orthodox Christian faith—to Christ and His Church.,Orthodox Christian Fellowship (OCF) is the official collegiate campus ministry program under the Assembly of Canonical Orthodox Bishops of the United States of America.
Palacats,,palacats,Active,Public,Special Interest,"Palacats is a program that allows students who love animals to give back to the Furman community by supporting the cats on campus. In addition to helping support Furman's campus cats, Palacats also works to better Furman by reducing/controlling the cat population on campus. Palacats doesn't just help the cats on Furman's campus; we allow animal lovers to bond with one another over their passion for helping animals in need. Furman University has several inclusive communities that contribute to its community as a whole. Palacats aims to act as another inclusive community that provides a place, a sense of belonging, and opportunities for engagement within the Furman community for animal lovers and our furry friends on campus.","Palacats is a program that allows students who love animals to give back to the Furman community by supporting the stray cats on campus. In addition to helping support Furman's stray cats, Palacats also works to better Furman by reducing/controlling the"
Paladin Ink: Furman's Creative Writing Organization,Paladin Ink,paladin-ink-furman-s-creative-writing-organization,Active,Public,Academic;Media;Special Interest,"Paladin Ink is a weekly meeting of student-writers at Furman University who write stories or poems about the writing prompt given, share their personal or school writing, and discuss various topics on writing and reading.",Paladin Ink is a weekly meeting of student-writers at Furman University who share their creativity through a variety of writing prompts while also challenging them to learn new aspects of writing.
Paladin MMA,PMMA,paladinmma,Active,Public,Special Interest,"MMA stands for Mixed Martial Arts and at Paladin MMA we teach, practice, and participate in a variety of martial arts like boxing, kickboxing, krav maga, and judo. We use the studio of the second floor of the PAC and provide general equipment. We teach and practice so that people can feel confident in their self defense skills, have an entertaining way to exercise, and be apart of a community where everyone grows together. We currently meet every Monday and Wednesday 3:00-4:45 PM","Paladin MMA is an area to learn and practice all different types of martial arts for a variety of reasons like health, entertainment or self-defense. We welcome beginners and professionals alike and there is no cost to join but your time."
Paladin Peer Support,PPS,paladinpeersupport,Active,Public,Diversity and Inclusion;Community Service;Special Interest,"Paladin Peer Support members are students who have a passion for wellness and individualized growth. They work one-on-one with students in peer support and work as mental health advocates on campus. Paladin Peer Support members are trained in wellness concepts, self-care, and coping strategies, while remaining mindful of emotional boundaries. Paladin Peer Support members can guide students through an individualized wellness plan, relaxation techniques, and self-reflection. The student determines their wellness needs, and the Paladin Peer Support member will guide the student through a variety of tasks that facilitate growth. Paladin Peer Support aims to create a comfortable space while remaining aware of healthy boundaries. Therefore, the Paladin Peer Support aims to identify short-term goals and accomplishments. Paladin Peer Support members are not therapists (they do not assess or diagnose). They are educated students, and every Paladin Peer Support member knows to address this distinction by establishing clear, healthy boundaries with students. Paladin Peer Support members are familiar with different campus resources that focus on mental health. They can connect the student with these resources if they require assistance beyond Paladin Peer Support. Paladin Peer Support aims to ensure that students will receive adequate, accurate and relevant information from trained mentors who can appropriately facilitate conversations about mindfulness and well-being. Our organization aims to promote wellness and mindfulness through peer support while also making existing campus resources more accessible to the student.","The mission of Paladin Peer Support is to support student wellness and self-improvement. Paladin Peer Support members support students by encouraging the development of wellness practices, organization skills, and self-care. Paladin Peer Support members"
PalaMind,,palamind,Active,Public,Diversity and Inclusion;Special Interest,,PalaMind provides students across campus with opportunities to practice mindfulness & learn more about this practice for themselves or in community. The practice of mindfulness is encouraged as a tool for living holistically healthy lives.
Panhellenic Council,Panhellenic Council,panhellenic-council,Active,Public,Fraternities and Sororities;Diversity and Inclusion;Community Service;Special Interest,The Furman University Panhellenic Council is the governing organization for Furman's six National Panhellenic Conference sororities. You can sign up for Formal Recruitment 2026 at the link below. 2026 Spring Formal Recruitment Registration,The Furman University Panhellenic Council is the governing organization for Furman's seven National Panhellenic Conference sororities.
Phi Mu Alpha - Gamma Eta,PMA,phi-mu-alpha-gamma-eta,Active,Public,Fine Arts,"Phi Mu Alpha Sinfonia is the world’s oldest and largest secret national fraternal society in music. Sinfonia was born on October 6, 1898, at the New England Conservatory in Boston, when a group of thirteen young men under the guidance of Ossian Everett Mills met “to consider the social life of the young men students of that institution [and] to devise ways and means by which it might be improved.” Sinfonia became a national fraternity on October 6, 1900, with the admission of a group of men at the Broad Street Conservatory in Philadelphia. For over a century, Sinfonians in nearly every field of study and professional endeavor have transformed music in America. The opportunity of becoming a Sinfonian is offered to as many men as possible who, through a love for music, can assist in the fulfillment of the Fraternity’s Object and ideals either by adopting music as a profession, or by working to advance the cause of music in America.","The Gamma Eta chapter of Phi Mu Alpha Sinfonia Fraternity, established in 1938, has a history of excellence in scholarship, service, musicianship, and brotherhood. Sinfonia is the world’s oldest and largest secret national fraternal society in music."
PHOKUS,PHOKUS,phokus,Active,Public,Academic;Media;Community Service;Special Interest,"Furman's peer education group, we are advocates for healthy living. We administer the campus-wide Health Fair as well as other wellness-focused programs promoting mental health, nutrition, physical fitness, alcohol and drug safety, and sexual health. We are an inclusive group, so there are no major requirements for membership - just a general interest in public and personal health and wellness.","Promoting Healthy Options through Knowledge, Understanding, and Service. Furman's peer health education group. Advocates for healthy living!"
Pi Kappa Phi - Delta Chapter,Pi Kapp,furmanpikapp-org,Active,Public,Fraternities and Sororities;Community Service,"Pi Kappa Phi is a social fraternity, founded in 1904 at the College of Charleston. The fraternity boasts more than 100,000 initiated members. Delta Chapter founded in 1909 is an award winning chapter both locally and nationally.","Pi Kappa Phi is a social fraternity, founded in 1904 at the College of Charleston. The fraternity boasts more than 100,000 initiated members. Delta Chapter founded in 1909 is an award winning chapter both locally and nationally."
Political Science Department,Political Science Department,political-science-department,Active,Public,,"The Department of Political Science at Furman University offers students the opportunity to explore the real world of politics--local to global. We as faculty members make it our mission to challenge each student to observe keenly, think critically, and communicate effectively. We engage students in classrooms where together we examine philosophical texts or analyze the latest election surveys. But we also take learning ""on the road"" to Washington, D.C., Brussels, and San Salvador where we observe and experience politics in action. Excellent teaching at Furman means great lectures, open discussions and close faculty-student relationships. In political science we also think it means exciting classroom simulations, quality internship programs and carefully-designed study abroad courses that invite students to learn through experience. Political Science at Furman is real world.","The Department of Political Science at Furman University offers students the opportunity to explore the real world of politics--local to global. We as faculty members make it our mission to challenge each student to observe keenly, think critically, an..."
Political Thought Club,PTC,political-thought-club,Active,Public,Academic;Political,Political Thought Club is a student-led reading club that actively seeks to furnish member students with a strong liberal arts background through reading classical texts and contemporary essays relating to philosophy and politics. Attending faculty offer their insight and expertise on the topics of discussion at hand. The focus of Political Thought Club this semester is on political theology of Martin Luther.,Political Thought Club is a student-led reading club that actively seeks to furnish member students with a strong liberal arts background through reading classical texts and contemporary essays relating to philosophy and politics.
Powerlifting Club,Powerl,powerlifting-club,Active,Public,Club Sports;Diversity and Inclusion,"The Furman Powerlifting team competes in the World Natural Powerlifting Federation, one of the largest drug-free federations in the world. Since 1997 the team has had great success individually and as a team. Individually the Furman powerlifting team has developed over 100 individual state champions in both men' and women's powerlifting events. Many of them have gone on to compete for National and World titles. To date 33 team members have won WNPF World titles in powerlifting events. As a team Furman has won 30 straight South Carolina state team titles, 116 US National Championships (Including the National Collegiate Championship in 2011,2013, and 2014) and in 2007, 2014, 2015, 2017, 2018, 2022, 2023, and 2024 Furman won the WNPF World Championship team title, defeating state-sponsored teams from Brazil, Canada, The Republic of Georgia, England and Estonia. The team is coached by Dr. Tony Caterisano, an Exercise Physiologist in the Health Sciences Dept. who has won 12 WNPF world titles himself since 1997. The club is open to all students who wish to learn how to power lift. Students can direct all inquiries to Dr. Caterisano or to John Taylor, powerlifting president.","The Furman Powerlifting team competes in the World Natural Powerlifting Federation, one of the largest drug-free federations in the world. Since 1997 the team has had great success individually and as a team. Individually the Furman powerlifting team h..."
Pre-Law Society,Pre-Law,pre-law-society,Active,Public,Academic;Admissions;University Department/Office;Diversity and Inclusion;Political;Programmatic;Community Service,"The mission of the Pre-Law Society is to be group of students that is composed of Furman’s undergraduate student population interested in legal studies or the legal profession. We recognize the importance of transparency, credibility, integrity, and civic engagement in the Furman and Greenville communities. We seek to embody these values in our efforts to better both the Pre-Law Society and Furman University. The Pre-Law Society seeks to become a group that is highly regarded on campus. The Pre-Law Society will work collaboratively with the students, administrators, faculty, and all guests to enhance the mission of the Pre-Law Society.",The mission of the Furman Pre-Law Society is to introduce the legal profession to Furman students and present a variety of career options available to them. The Society also seeks to inform and assist Furman students aspiring to go to law school.
Psychology Club,Psychology Club,psychology-club,Active,Public,Academic;Special Interest,"The Psychology Club organizes events for psychology majors and the Furman community at large. Events include annual colloquium speakers, webinars, student/faculty dinners, movie nights, and much more!","The Psychology Club organizes events for psychology majors and the Furman community at large. Events include annual colloquium speakers, webinars, student/faculty dinners, movie nights, and much more!"
Reformed University Fellowship,RUF,reformed-university-fellowship,Active,Public,Religious Council,"Reformed University Fellowship (RUF) is the campus ministry of the Presbyterian Church in America (PCA). Though we exist on campus through the PCA, you will find students from a wide variety of backgrounds here at Furman University, because we welcome students from any and all walks of life. We are here for the ""convinced"" and the ""unconvinced."" It is our aim to ""reach students for Christ and equip them to serve in His church.""","Reformed University Fellowship (RUF) is the campus ministry of the Presbyterian Church in America (PCA). It is our aim to ""reach students for Christ and equip them to serve in His church."""
Religious Council,RC,religious-council,Active,Public,Diversity and Inclusion;Programmatic;Religious Council;Community Service;Student Government and Class Pages,"Religious Council is a coordinating body composed of representatives from each religious group, the Secretary of Religious Affairs of SGA, and the University Chaplains. Religious Council functions as a clearinghouse for ideas and information. It promotes unified functioning, mutual understanding and cooperation among the various religious groups. It also works to promote religious understanding and respect on campus.","Religious Council is a coordinating body composed of representatives from each religious group, the Secretary of Religious Affairs of SGA, and the University Chaplains. Religious Council functions as a clearinghouse for ideas and information."
"Resident Assistants for Inclusion, Solidarity, and Equity",D&IRA,diversity-inclusivity-resident-assistants,Active,Public,University Department/Office;Diversity and Inclusion,"RAISE (Resident Assistants for Inclusion, Solidarity and Equity), under the advisement of the Assistant Director of South Housing, plan and implement programs to teach foundational concepts of culture and identity. They also serve as first support for co-resolving roommate conflicts involving race, national origin, sexual orientation, and ability in housing.",RAISE staff collaborate with Housing and Residence Life and the Center for Inclusive Communities to provide activities in the residence halls centered around inclusion and the celebration of diversity. R
Residential Life Council,RLC,residential-life-council,Active,Public,University Department/Office;Programmatic;Special Interest;Student Government and Class Pages,"RLC stands for the Residential Life Council. RLC exists to serve the residents of Furman University - we aim to make living at Furman just a little bit better. Our goal is to put your ideas for improving residential life into action and to act as representation of Furman student residents to faculty and staff. RLC is where service meets social. Serve better, Live better.",The Residential Life Council exists to serve the residents of Furman University - we aim to make living at Furman just a little bit better. Where service meets social. And always on the house.
Rinker Center for Study Away and International Education,Study Away,center-for-study-away-and-international-education,Active,Public,University Department/Office,"Enhance the vitality and academic quality of Furman's faculty-led travel study, affiliate and exchange programs, and to enroll academically well-qualified and intellectually engaged students from different parts of the world.","The primary mission of the Office for Study Away and International Education is to enhance the vitality and academic quality of Furman's faculty-led travel study, affiliate and exchange programs, and to enroll academically well-qualified and intellectu.."
Roers Art Club,Roers,roers-art-club,Active,Public,Media;Fine Arts,"The Roers Art Club is dedicated to fostering an artistic atmosphere through artwork, workshops, and community development. We strive to create an inclusive environment that is welcoming to both majors and non-majors.","The Roers Art Club fosters an artistic atmosphere through artwork, workshops, and community development. We strive to create an inclusive and welcoming environment for both majors and non-majors."
Safe Zone at Furman University,Safe Zone,safe-zone-at-furman-university,Active,Public,University Department/Office;Diversity and Inclusion,"Safe Zone at Furman University is an educational program geared towards creating an inclusive environment for the LGBT+ community at Furman University. It began to take shape during the summer of 2016, when Meg Bolger of the Safe Zone Project conducted a Train the Trainer session with a number of Furman University staff. Shortly after, Rob Essaf was brought on board to create the basic tenets, such as structure and introductory workshops, that was be the foundation of the program. It was built over the course of the 2016-2017 Academic Year with input coming from faculty, staff, and students to determine what type of format and content would best serve the Furman University community. It is open to ALL students, staff, and faculty. The goal of this program is to raise awareness about the dynamics of gender and sexual orientation while exploring different ways to embody inclusive allyship for people of all orientations, genders, sexualities, identities, and levels of being out. In addition to our current Safe Zone curricula, we are happy to explore specific or tailored presentations on LGBT+ identities for particular groups and communities (such as medical / healthcare community, mental health groups, teachers/educators, religious communities, etc) upon request. The availability of these specialized topics will depend on the expertise/interests of the facilitators and the time available.","Safe Zone at Furman University is an educational program geared towards creating an inclusive environment for the LGBT+ community at Furman University. It began to take shape during the summer of 2016, when Meg Bolger of the Safe Zone Project conducted..."
Sexual Harassment and Rape Prevention Committee,SHARP,sexual-harassment-and-rape-prevention-committee,Active,Public,University Department/Office;Special Interest,"This committee is comprised of staff, students, and faculty committed to educating our campus community about sexual harassment, sexual assault, and rape and preventing such incidents from occurring. Whatever our level of experience, we will share in the satisfaction of planning programs and special events, creating and reviewing policies and procedures, educating the campus community about resources, and supporting survivors of sexual assault. This committee -- with representatives from student athletics, student government, student media, Greek organizations, Feminist Initiative, Housing & Residence Life, Public Safety, the Counseling Center, the Athletic Department, Student Health Services, Student Life, and the faculty -- represents diverse interests and perspectives working towards common goals.","This committee is comprised of staff, students, and faculty committed to educating our campus community about sexual harassment, sexual assault, and rape and preventing such incidents from occurring. Whatever our level of experience, we will share in t..."
Sexuality and Faith Exploration,SAFE,safe,Active,Public,Diversity and Inclusion;Religious Council,,"SAFE is dedicated to providing students with a safe space to discuss their experiences with identity and religion, with a particular emphasis on sexuality and gender identity."
Shi Institute for Sustainable Communities,Shi Center,shicenter,Active,Public,,"Founded in 2008 and housed in a LEED-certified Southern Living Showcase Home, the mission of the Shi Institute for Sustainable Communites is to promote sustainable communities that are socially just and equitable, environmentally sound and resilient, and economically viable and circular. The institute does so by serving as a conduit and crossroads for cultivating and connecting sustainability leaders, conducting and applying breakthrough sustainability research, and designing innovative ways to teach and learn about sustainability.to promote interdisciplinary research and teaching in support of sustainability on campus and in the greater community.","The Shi Institute strives to promote sustainable communities that are socially just and equitable, environmentally sound and resilient, and economically viable and circular."
Shucker Leadership Institute,SLI,shucker-leadership-institute,Active,Public,University Department/Office;Community Service,"The Shucker Leadership Institute (SLI) is a two-year program designed to foster the development of emerging student leaders through a guided experience that emphasizes self-exploration, initiative, commitment, collaboration and experiential learning. SLI inspires students to explore their passions and become catalysts for change. Each y​ear, 25 freshmen students are chosen to become New Fellows in the Shucker Leadership Institute. SLI's guided process is intended to enhance the college experience and prepare students for a lifetime of meaningful leadership and service. Named in honor of Furman's former Vice President for Student Services, Harry B. Shucker, SLI is an endowed leadership development program that emphasizes self-knowledge, initiative, commitment, and collaboration to connect leadership and service while engendering students' respect and understanding for interpersonal differences.","The Shucker Leadership Institute (SLI) is a two-year program designed to foster the development of emerging student leaders through a guided experience that emphasizes self-exploration, initiative, commitment, collaboration and experiential learning."
Sigma Alpha Epsilon,SAE,sigma-alpha-epsilon,Active,Public,Fraternities and Sororities,"Brought to Furman on September 15, 1868 as the 20th chapter in our national history, Sigma Alpha Epsilon is the oldest fraternity on campus. The chapter has produced ""True Gentlemen"" of distinction ever since its inception, and names such as Furman, Hipp, Joyner, and Reilly have been proud to wear our badge. By adhering to its ritual and its creed, ""The True Gentlemen"", SAE promises young men a lifetime of leadership, friendship, and unadulterated brotherhood in one of the world's largest social fraternities.","Brought to Furman on September 15, 1868 as the 20th chapter in our national history, Sigma Alpha Epsilon is the oldest fraternity on campus. The chapter has produced ""True Gentlemen"" of distinction ever since its inception, and names such as Furman, Hi..."
Sigma Alpha Iota,SAI,sigma-alpha-iota,Active,Public,Fraternities and Sororities;Fine Arts,"Sigma Alpha Iota is an international organization that stands for service, music, and sisterhood. The Theta Lambda chapter of Sigma Alpha Iota was established at Furman University in Greenville, South Carolina on February 15, 1997. Theta Lambda is an established part of Furman’s music department. Sisters perform on student recitals and concerts, serve as ushers for concerts and events within the music department, and organize and serve at receptions for senior musicians and guest artist recitals. Theta Lambda members also visit the Woodlands at Furman and local schools to work with music classes. The Sisterhood has held bake sales and canned food drives throughout the year to support different organizations. Theta Lambda also organizes social events throughout the year. The Sisterhood hosts a Semi-Formal in the Fall and a joint Formal with Phi Mu Alpha in the Spring. We participate in Homecoming festivities with PMA as well.","Sigma Alpha Iota is Furman's Women's Music Fraternity. Members come from many different backgrounds, but all have participated in music on campus in some way. Recruitment for new members occurs in the spring with interest events in the fall each year."
"Sigma Chi, Iota Nu Chapter",Sigma Chi,sigma-chi-iota-nu-chapter,Active,Public,Academic;Atheltics;Fraternities and Sororities;Community Service;Special Interest,"Sigma Chi is an international men's fraternity founded on June 28, 1855 at the University of Miami in Oxford Ohio. The fraternity's core values are friendship, justice, and learning. There are 242 undergraduate chapters and 152 alumni chapters of Sigma Chi. The Furman University Chapter of Sigma Chi is designated as the Iota Nu Chapter, and was founded in 1989.","Sigma Chi is an international men's fraternity founded on June 28, 1855 at the University of Miami in Oxford Ohio. The fraternity's core values are friendship, justice, and learning. There are 242 undergraduate chapters and 152 alumni chapters."
Sigma Nu,Sig Nu,sigmanu,Active,Public,Admissions;Atheltics;University Department/Office;Fraternities and Sororities;Media;Community Service,,A Greek Life Organization at Furman University
Sink or Swim,S.O.S.,sos,Active,Public,Special Interest,,"Furman's Sink or Swim is an organization that aims to help teach, train, and grow billiards/pool players."
Society of Physics Students,SPS,society-of-physics-students,Active,Public,Academic;University Department/Office;Special Interest,"The Society of Physics Students (SPS) is a professional association explicitly designed for students. Membership, through collegiate chapters, is open to anyone interested in Physics and Astronomy, and that serves as the only requirement. All Physics and Applied Physics majors are automatically enrolled in the club when they declare their respective majors.","The Society of Physics Students (SPS) is a professional association explicitly designed for students. Membership, through collegiate chapters, is open to anyone interested in physics. The only requirement for membership is an interest in physics."
STEM Ambassadors,,stemambassadors,Active,Public,,"The STEM Ambassadors program brings together student representatives from STEM departments (BIO, CHM, CSC, EESS, HSC, MTH, HSC, PHY, and PSY) who collectively explore ways to promote belonging, equity, and community among STEM students of all identities. We plan events to help both students and faculty develop a deeper understanding these issues within STEM.","Student representatives focused on belonging, inclusion, and student success in STEM"
Student Alumni Council,SAC,student-alumni-council,Active,Public,Programmatic;Student Government and Class Pages,"The mission of the Furman University Student Alumni Council is to actively connect students with Furman Alumni and other members of the Furman community by planning and participating in various engaging activities. In addition, Student Alumni Council will foster an experience and awareness among Furman students to prepare them to be active Furman Alumni.",The mission of the Furman University Student Alumni Council is to actively connect students with Furman Alumni and members of the Furman community by planning and participating in engaging activities.
Student Athlete Advisory Committee,SAAC,student-athlete-advisory-committee,Active,Public,Atheltics;Diversity and Inclusion;Community Service,"The athletic department’s Athletic Service Board (ASB) is comprised of at least two student-athletes from each varsity sport. This committee was established to give student-athletes a voice and representation in the decision-making of Furman athletics. ASB firmly believes that cooperation and support amongst athletes from all sports are vital to the success of the athletic department. Through student-athlete reps, ASB promotes the communication between members of all athletic teams and the leaders of the athletic department, the university, the Southern Conference, and the NCAA. The Athletic Service Board serves as Furman’s Student Athlete Advisory Committee to the Southern Conference and the NCAA.",The athletic department’s Athletic Service Board (ASB) is comprised of at least two student-athletes from each varsity sport. This committee was established to give student-athletes a voice and representation in the decision making of Furman athletics....
Student Diversity Council,SDC,student-diversity-council,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"Mission Statement: The mission of the Student Diversity Council (SDC) is to educate Furman affiliated individuals on topics of cultural diversity while advocating for cultural understanding, awareness, equality, and equity. Vision Statement: The Student Diversity Council envisions a Furman community that values and embraces all aspects of diversity toward the wellbeing of all community members. To promote such a community, the Student Diversity Council accepts its responsibility in cultivating a campus environment where difference, particularly those based in culture and identity, are uplifted and celebrated.","The Student Diversity Council (SDC) is the umbrella organization for multicultural or identity-based student groups that are committed to diversity, belonging, engagement, and inclusion for all students. Everyone is welcome to join any SDC organization."
Student Government Association,SGA,student-government-association,Active,Public,Student Government and Class Pages,The mission of Furman Student Government Association (SGA) is to be a proactive governing body that represents Furman's diverse student population and contributes to the positive development of the university community. We are students serving students.,The mission of Furman Student Government Association (SGA) is to be a proactive governing body that represents Furman's diverse student population and contributes to the positive development of the university community. We are students serving students.
Student League for Black Culture,SLBC,student-league-for-black-culture,Active,Public,Diversity and Inclusion;Programmatic;Student Diversity Council Organizations;Special Interest,"Founded in 1973, Student League for Black Culture, known as SLBC, has been dedicated to creating an inviting space for students to truthfully voice their perspectives, connect and learn from one another on a multitude of topics, and ultimately celebrate Black joy in various forms. SLBC exists for the betterment of the wellbeing of Black students at Furman University through camaraderie and engaging measures by educating and uplifting one another. It offers distinctly unique opportunities for creativity and innovativeness through numerous programs hosted throughout the school year while extending reach to the wider Greenville community. SLBC also strives to connect with all of the organizations within the Student Diversity Council (SDC), with hopes of creating stronger relationships between institutionally marginalized communities at Furman leading to a larger influence of diversity throughout our campus. SLBC strongly adheres to the overall mission of SDC and anyone who wholeheartedly supports that mission is eligible to be a part of the organization. For the 2025-26 academic year, SLBC will be meeting every other Thursday at 6pm in Trone 208.","SLBC encourages racial interaction, sensitivity, harmony, and education by bringing speakers to campus who have made significant contributions to the enhancement of Black awareness. SLBC encourages the social and cultural interaction of Black students."
Student Organization Advisors,Advisors,student-organization-advisors,Active,Public,,"This portal is intended to be a resource for all student organization advisors. It will be kept up-to-date with University policies, forms, and other important information regarding student organizations.","This portal is intended to be a resource for all student organization advisors. It will be kept up-to-date with University policies, forms, and other important information regarding student organizations."
The Bell Tower Boys,BTB,the-bell-tower-boys,Active,Public,Fine Arts;Special Interest,"The Bell Tower Boys are an a cappella group composed of students with varying backgrounds, experience, and disciplines. We strive to bring high quality entertainment to the Greenville community while building connections and lifting each other up.",The Bell Tower Boys is Furman's student-led Men's A Cappella ensemble.
"The Echo, Furman University's Literary Arts Magazine",The Echo,furmanecho,Active,Public,Academic;University Department/Office;Media;Fine Arts,"Since its birth in 1889, The Echo has developed a rich history of serving the Furman community as an esteemed publication of student works. As one of the oldest literary publications in the nation, it serves as a home for conversation and communion among writers, artists and readers. Each year, The Echo seeks to publish innovative works of prose, poetry, studio art, and photography. The magazine is a display of Furman's effort to promote intellectual creativity and academic and artistic excellence amongst the student body. Submissions will open in November, but we invite you to connect with us beforehand! To read current and past issues of The Echo, visit scholarexchange.furman.edu/echo. To learn about our events and upcoming opportunities, follow our Instagram: @the.furman.echo",The Echo is Furman's annual literary and visual arts magazine (est. 1889). Follow us on Instagram [@the.furman.echo] for updates on events and opportunities!
The Paladin,The Paladin,thepaladin,Active,Public,Academic;Media;Political,"The Paladin is more than just a student news network; it’s the voice of Furman’s students. As Furman University’s only independent student news network, it is our responsibility to offer in-depth coverage of campus news and provide a platform for the content our community needs and wants. Established in 1916 as a print newspaper, we continue the tradition of providing the student body’s perspective on issues affecting the Furman community in a more-frequent, digital format. The paper posts articles daily on thepaladin.news .","The Paladin, Furman University's student newspaper, was established in 1916. Today, it continues to provide the student body's perspective on issues affecting the Furman community. The paper posts articles daily on thepaladin.news ."
"The Riley Institute of Government, Leadership and Public Policy",The Riley Institute,the-riley-institute-of-government-leadership-and-public-policy,Active,Public,,"The Richard W. Riley Institute of Government, Politics, and Public Leadership is a multi-faceted, non-partisan institute affiliated with the Department of Political Science at Furman University. Named for former Governor of South Carolina and United States Secretary of Education Richard Riley, the Institute is unique in the United States in the emphasis it places on engaging students in the various arenas of politics, public policy, and public leadership.","The Richard W. Riley Institute of Government, Politics, and Public Leadership is a multi-faceted, non-partisan institute affiliated with the Department of Political Science at Furman University. Named for former Governor of South Carolina and United St..."
The Walking Club,fuWALK,bestiesalliedtolivelaughandstroll,Active,Public,Atheltics;Community Service,"With the walk club, we hope to both inspire healthy habits and sustainability within our community. Exercising can be daunting, especially running, and we feel like a club that encourages easier group exercises would be beneficial. We also want to spread awareness about the impact that automobiles have on our campus, and teach about the benefits of walking to class.","A group focused on using walking as a tool for health, sustainability, and friendships."
Tocqueville Program,,tocquevilleprogram,Active,Public,,"The Tocqueville Program is an intellectual community devoted to seeking clarity about the moral and philosophic questions at the heart of political life. We host curricular and extracurricular activities designed to help students and faculty to engage seriously with the most powerful arguments behind diverse and competing religious, political and ethical points of view. Our work is undertaken in the hope that the practice of shared, disciplined inquiry into disputed questions can help us understand better how to maintain the delicate fabric of our civilization. Our program takes its name from Alexis de Tocqueville, a 19th-century French author, statesman, and traveler who developed a “new science of politics” focused on the study of the modern democratic soul. On the contested, partisan questions of his time, Tocqueville “undertook to see, not differently, but further than the parties.” We seek to follow his example.",The Tocqueville Program is an intellectual community devoted to seeking clarity about the moral and philosophic questions at the heart of political life. We host curricular and extracurricular activities designed to help students and faculty to engage s
Trone Student Center,Trone Center,trone-student-center,Active,Public,University Department/Office,"The Trone Student Center is the hub of campus activity at Furman. Grab a cup of coffee at Starbucks, hang out at Barnes & Noble, get lunch at the PalaDen, enjoy a late night snack in The Paddock, attend a CLP in Watkins Room, pick up your mail at the P2X, catch a movie at Burgiss Theater, or simply hang out here at the TSC. This is YOUR center for student life, so we'll see you at the Trone!","The Trone Student Center is the living room of campus. The Trone has numerous spaces to accommodate any need: studying, eating, relaxing, events, etc. Make sure to visit us and enjoy any of our amazing offerings and the unforgettable views of Swan Lake."
